identifier,group,major_group,sub_group,membran_prediction,seq_start,number_cysteines,activity,x_umap_2D,y_umap_2D,x_umap_3D,y_umap_3D,z_umap_3D,x_pca_3D,y_pca_3D,z_pca_3D,variance,x_tsne_2D,y_tsne_2D,x_tsne_3D,y_tsne_3D,z_tsne_3D
SP|Q14210|Homo_sapiens,Ly6D,Ly-6,Ly6D,Membrane,MRT,10.0,,-4.003307,6.9656615,-3.2720933,5.7985373,0.5422163,1.0550604280612483,-0.09668930218142668,0.4282562045267877,,42.65539,35.29877,21.266544,-2.7562213,-0.41077736
SP|Q16553|Homo_sapiens,Ly6E,Ly-6,Ly6E,Membrane,MKI,10.0,,-4.1753707,6.4920053,-3.8484726,5.5710526,0.12593825,1.1661463888982118,0.27720218755527104,0.3393771261721372,,44.8027,36.84728,24.226263,-1.7687516,0.17930539
SP|Q17RY6-2|Homo_sapiens,Ly6K,Ly-6,Ly6K,Secreted,,6.0,,1.627108,11.730981,4.2746835,9.409145,-1.3061695,0.771755016021866,-0.3154882005560615,-0.11595371923247597,,-50.163925,1.8264989,18.160519,4.5614634,-2.7748873
SP|Q6UXB3|Homo_sapiens,LYPD2,Ly-6,LYPD2,Membrane,MRG,11.0,,-4.912519,6.174473,-4.203296,4.9885893,0.973114,1.0308992006391955,-0.0247341246479193,0.2936524648899221,,47.664978,38.33343,26.10334,-2.5388873,3.0057383
SP|Q8IV16|Homo_sapiens,GPIHBP1,Ly-6,GPIHBP1,Membrane,MKA,10.0,,-4.510535,6.9436812,-3.606332,5.3989143,1.0067067,1.0550681774452717,-0.3130899567335922,0.15811163645124357,,44.198208,39.658016,23.021599,-0.46305868,3.8869557
None|Phci_11|Phascolarctos_cinereus,Ly6K,Ly-6,Ly6K,Membrane,,11.0,,-3.3974326,5.9003763,-3.227232,4.6121845,-0.14645106,1.0021860316191111,0.026440410392001637,0.27204448218913013,,49.668755,30.956036,22.794456,-10.066386,2.4431007
None|Phci_13|Phascolarctos_cinereus,Ly6 other,Ly-6,Ly6 other,Membrane,MKV,11.0,,-4.126277,6.6286435,-3.4161618,5.049808,0.62269884,0.9565756490370755,-0.09214027566028579,0.30893613655654684,,46.34844,33.85558,19.27532,-4.594572,2.2804587
None|Phci_14|Phascolarctos_cinereus,Ly6E,Ly-6,Ly6E,Membrane,MKV,10.0,,-3.736909,6.643234,-3.1869564,5.2609763,0.16616847,1.0101552648316032,0.0638638422401094,0.27305318392731764,,44.93116,32.829014,22.05067,-4.2792015,1.7112098
None|Phci_15|Phascolarctos_cinereus,Ly6H,Ly-6,Ly6H,Membrane,MPR,10.0,,-3.427785,6.596217,-2.8905907,4.968816,0.2751874,0.964411586369833,-0.0674342472805411,0.3481479754735276,,45.456436,30.949585,19.720196,-5.23577,4.234677
None|Phci_16|Phascolarctos_cinereus,Ly6H,Ly-6,Ly6H,Membrane,MKI,10.0,,-3.9879615,6.947369,-3.4078863,5.7636943,0.29896027,1.0947210220580483,0.07908932851458447,0.3914874248623259,,43.790894,34.45818,21.74705,-2.6553392,1.3598369
None|Phci_17|Phascolarctos_cinereus,GPIHBP1,Ly-6,GPIHBP1,Membrane,,12.0,,-3.466948,6.7178125,-2.7886057,4.5675406,0.28786957,0.9412565967261052,-0.17988369925674708,0.30485169210037644,,45.91977,29.444548,20.59953,-7.0546517,5.114324
None|Phci_2|Phascolarctos_cinereus,SLURP1,Ly-6,SLURP1,Membrane,MGT,10.0,,-4.7223854,6.3765903,-3.990092,4.98601,0.85124844,1.0420373769248306,-0.03963921165849767,0.26355638731427494,,47.25876,38.295433,25.524176,-2.1474967,3.1726916
None|Phci_3|Phascolarctos_cinereus,LYPD2,Ly-6,LYPD2,Membrane,MLG,10.0,,-4.440081,5.9013677,-3.9451132,4.7359133,0.40138143,1.0603762548151154,0.045834825823656354,0.4069545142794077,,48.679634,35.675476,24.27717,-4.940335,3.2513857
None|Phci_4|Phascolarctos_cinereus,LYNX1,Ly-6,LYNX1,Membrane,MKF,10.0,,-3.9587421,6.7361555,-3.4506984,5.178836,0.41752928,1.0342034651590235,0.02389476525742348,0.31029313691455734,,45.286232,34.89247,23.057192,-3.957118,0.013677367
None|Phci_5|Phascolarctos_cinereus,Ly6 other,Ly-6,Ly6 other,Membrane,MKL,11.0,,-4.188762,6.8918977,-3.434418,5.643051,0.5576677,1.0702114594666212,-0.07394545346796445,0.3691892844676265,,43.096348,34.33431,20.883999,-2.5608888,0.9991527
None|Phci_6|Phascolarctos_cinereus,LYNX1,Ly-6,LYNX1,Membrane,MKS,10.0,,-3.4702737,6.7405524,-3.0315344,5.251846,0.12224414,0.9284456281635423,0.028114687960086898,0.37358211310899075,,46.21376,32.417572,20.51739,-5.1092954,1.6123576
None|Phci_7|Phascolarctos_cinereus,Ly6D,Ly-6,Ly6D,Membrane,MKS,10.0,,-3.8567858,6.590582,-3.2264197,5.23674,0.2186123,1.0059340860692603,-0.03292614019237669,0.36521248854437227,,46.381973,32.44491,20.836441,-5.09876,1.618925
None|Phci_8|Phascolarctos_cinereus,Ly6 other,Ly-6,Ly6 other,Membrane,MAS,11.0,,-3.1735516,6.541885,-2.8002725,5.138377,-0.21258576,0.9598301716059435,-0.0060547058932764785,0.44007313221007477,,48.075176,28.88684,19.997425,-7.3102093,2.1547246
None|Oran_1|Ornithorhynchus_anatinus,Ly6K,Ly-6,Ly6K,Membrane,MCH,10.0,,-4.467007,7.1274242,-3.4677181,5.541686,0.8698035,1.088455880481308,-0.06470530848531236,0.1911990215989344,,43.04546,39.126274,21.753708,-0.48063695,3.132669
None|Oran_2|Ornithorhynchus_anatinus,Ly6 other,Ly-6,Ly6 other,Membrane,,11.0,,-3.8134613,7.088418,-3.0798154,5.6106563,0.22121765,1.0054775995531633,-0.1477159291994647,0.5760446884891308,,42.359943,33.55423,19.687716,-2.7189019,0.7977799
None|Oran_dn_10|Ornithorhynchus_anatinus,GPIHBP1,Ly-6,GPIHBP1,Membrane,MKA,10.0,,-4.626425,6.724158,-3.824505,5.3594546,0.85356015,1.129180599832389,-0.09277934986326139,0.24933354578042013,,45.403854,38.298344,23.73817,-1.5281718,2.9170566
None|Oran_dn4|Ornithorhynchus_anatinus,SLURP2,Ly-6,SLURP2,Membrane,MKL,11.0,,-3.7440746,6.1289454,-3.413221,5.100226,-0.10433926,1.0345399816258682,0.05810591578073637,0.4278675202984611,,48.547646,33.009983,23.322418,-5.9647756,0.5361908
None|Oran_dn5|Ornithorhynchus_anatinus,LYNX1,Ly-6,LYNX1,Membrane,MMR,11.0,,-4.3503366,6.994626,-3.588941,5.7050614,0.64572644,1.0790151179302463,0.030900163789335293,0.3132789433459102,,44.36971,35.28726,22.615547,-3.0418136,-0.013404335
None|Oran1|Ornithorhynchus_anatinus,LYPD2,Ly-6,LYPD2,Membrane,MRP,11.0,,-4.734805,6.1814933,-4.125976,4.8935676,0.9020441,1.085273621229961,-0.026876150613859767,0.36611697434836094,,47.922157,38.114967,25.993544,-3.0739799,3.2095892
None|Oran2|Ornithorhynchus_anatinus,SLURP1,Ly-6,SLURP1,Membrane,MKM,10.0,,-4.654345,6.477823,-4.0619497,5.3654823,0.68277717,1.134627122122896,0.04046358304200899,0.3785302568868406,,46.481056,37.161205,24.988047,-2.9220266,1.4844418
None|Oran3|Ornithorhynchus_anatinus,PSCA,Ly-6,PSCA,Membrane,MRA,10.0,,-4.402202,7.0887713,-3.6349967,5.8671036,0.5746624,1.1004287299577773,0.014256549576705704,0.33676910064602017,,43.298607,35.728947,22.012087,-1.9676046,0.11629932
None|Oran6|Ornithorhynchus_anatinus,Ly6D,Ly-6,Ly6D,Membrane,MKS,11.0,,-4.199823,6.926634,-3.4188533,5.8316207,0.5253535,1.0100438044647897,-0.10257341500571282,0.3932934726758635,,43.037678,35.057423,21.183376,-2.004932,0.11122846
None|Oran7|Ornithorhynchus_anatinus,Ly6 other,Ly-6,Ly6 other,Membrane,MKV,12.0,,-3.9227836,7.0975814,-3.2445133,5.6982245,0.38872936,1.0678630521944343,-0.07916870556998641,0.46045431959588345,,42.946247,34.20993,20.644842,-2.6095278,0.8468455
None|Oran8|Ornithorhynchus_anatinus,Ly6K,Ly-6,Ly6K,Membrane,MKL,10.0,,-4.3705664,7.069174,-3.382988,5.458657,0.8255488,1.1000957607109905,-0.061935547518905704,0.17991041664441784,,43.048126,39.129578,21.756317,-0.48148853,3.1368139
None|Oran9|Ornithorhynchus_anatinus,Ly6 other,Ly-6,Ly6 other,Membrane,MGN,12.0,,-3.3865159,6.652095,-2.8476512,4.826479,0.17508857,0.9484228739011157,-0.1441739640663363,0.38692946967894953,,47.002224,29.60076,21.351395,-5.033719,3.919531
None|Gaga_1|Gallus_gallus,PSCA,Ly-6,PSCA,Membrane,MKV,10.0,,-2.7967472,6.536651,-2.7195258,5.0279775,-0.36915183,0.9169816273491513,0.08025400358112467,0.42242358430767507,,49.238094,28.034246,19.831635,-7.801056,0.9767762
None|Gaga_2|Gallus_gallus,SLURP1,Ly-6,SLURP1,Membrane,MKM,10.0,,-4.798975,6.0149293,-4.214569,4.842213,0.62538767,1.0606255640910014,-0.061061244308915845,0.3298745083516491,,48.861664,37.56184,26.315222,-4.0732718,2.3896408
None|Gaga_3|Gallus_gallus,LYPD2,Ly-6,LYPD2,Membrane,MKL,11.0,,-4.328496,5.66552,-4.0913644,4.578368,0.17219765,1.0875197691045062,0.06769531279875421,0.34748929466117856,,49.94911,36.33626,25.49733,-5.7595897,2.5861292
None|Gaga_4|Gallus_gallus,Reptilian Ly6 group 1,Ly-6,Reptilian Ly6 group 1,Membrane,MKA,10.0,,-2.4625127,5.2407284,-3.7721708,5.1213517,-1.1742486,1.025368199219311,0.29249850148128903,0.41158577589687717,,54.164867,29.553556,23.777885,-8.635388,-1.6572177
None|Gaga_5|Gallus_gallus,Reptilian Ly6 group 3,Ly-6,Reptilian Ly6 group 3,Membrane,MKT,11.0,,-3.5583024,6.2464466,-3.057093,4.563668,0.04675418,0.978637437019363,-0.13036139901039803,0.325264752246321,,47.947098,30.427717,21.93028,-7.351753,3.8360279
None|Gaga_6|Gallus_gallus,Reptilian Ly6 group 2,Ly-6,Reptilian Ly6 group 2,Membrane,MKA,11.0,,-3.4163387,5.6608467,-3.7096276,4.697334,-0.34553802,1.0870875976684684,0.11106147848437939,0.3940424364493349,,50.102257,32.62159,23.904394,-7.2683005,1.2179742
None|Gaga_7|Gallus_gallus,Reptilian Ly6 group 2,Ly-6,Reptilian Ly6 group 2,Membrane,MKA,11.0,,-3.4588296,5.451857,-3.7591267,4.461982,-0.34239075,1.0719632063814355,0.10616620002170235,0.3428595579493841,,50.588787,33.692333,24.942207,-7.7339783,2.298349
None|Gaga_8|Gallus_gallus,Ly6E,Ly-6,Ly6E,Secreted,MKA,11.0,,4.119409,12.220232,4.2541485,7.452615,0.44334647,0.7342428418116783,0.27080250538251055,-0.1172742227551627,,-40.61627,24.729803,15.494179,6.6985416,5.2125835
None|Alsi_1|Alligator_sinensis,PSCA,Ly-6,PSCA,Membrane,MKV,11.0,,-3.0551744,6.584,-2.5654943,5.101223,-0.3698621,0.96814035389099,0.017914730636857428,0.432466373638668,,49.457108,27.495247,18.997576,-7.4498773,0.779939
None|Alsi_10|Alligator_sinensis,Ly6 other,Ly-6,Ly6 other,Membrane,MKP,10.0,,-3.5277152,6.2854304,-3.3012915,5.20809,-0.06081113,1.0228225117814815,-0.02532214488392686,0.3837663814825581,,47.658867,32.408432,21.804373,-5.8508053,1.2450436
None|Alsi_2|Alligator_sinensis,SLURP1,Ly-6,SLURP1,Membrane,MKA,11.0,,-4.4916196,5.915592,-4.177024,4.9277596,0.33142456,1.063306161346305,0.034951969108582476,0.32830284430007217,,49.494106,37.22644,25.667728,-4.8772945,1.6837876
None|Alsi_3|Alligator_sinensis,LYPD2,Ly-6,LYPD2,Membrane,MRD,11.0,,-4.7065086,6.1633224,-4.0978184,4.855719,0.8163637,1.1024702819789045,-0.07300181266245966,0.4001958627391221,,48.705986,38.522457,25.671461,-3.5927246,4.19261
None|Alsi_4|Alligator_sinensis,Ly6H,Ly-6,Ly6H,Membrane,MKA,12.0,,-3.4393053,6.935576,-2.9230824,5.1635995,0.24627869,0.9808828911127997,-0.049326983483307434,0.3627775050552921,,43.902798,30.57419,18.504034,-5.8687887,2.5786822
None|Alsi_5|Alligator_sinensis,Reptilian Ly6 group 1,Ly-6,Reptilian Ly6 group 1,Membrane,MKA,10.0,,-2.2692895,5.459755,-3.5813572,5.3175826,-1.2095499,1.0111763975179626,0.2644963574610167,0.4842759999092109,,54.13576,28.952333,22.779922,-8.943364,-1.848221
None|Alsi_6|Alligator_sinensis,Reptilian Ly6 group 3,Ly-6,Reptilian Ly6 group 3,Membrane,MKT,10.0,,-3.484463,6.3985767,-2.9540877,4.414746,0.023909612,0.9397323415106402,-0.11248159528806113,0.2984573733986666,,45.844494,27.88673,21.222254,-8.889697,4.7282166
None|Alsi_7|Alligator_sinensis,Reptilian Ly6 group 2,Ly-6,Reptilian Ly6 group 2,Membrane,MKL,10.0,,-3.4733727,5.7373524,-3.705189,4.901823,-0.22276567,1.085912834543879,0.11039144422854472,0.33319676524348435,,49.96277,33.172817,24.172625,-6.768039,1.7272562
None|Alsi_8|Alligator_sinensis,Reptilian Ly6 group 2,Ly-6,Reptilian Ly6 group 2,Membrane,MMK,11.0,,-3.2438574,5.76106,-3.4143858,4.899576,-0.44194922,1.0533040258515791,0.06207399882232798,0.39429501420851776,,50.259777,32.062458,23.079033,-7.5124106,1.5884156
None|Alsi_9|Alligator_sinensis,Ly6E,Ly-6,Ly6E,Secreted,MRT,10.0,,4.1898203,12.135522,4.369958,7.4652524,0.44915476,0.7047769226891718,0.18138493574785403,-0.04064347264006154,,-40.235146,24.123396,14.59001,7.0957065,5.1256967
None|Chmy_1|Chelonia_mydas,PSCA,Ly-6,PSCA,Membrane,,11.0,,-3.0392592,6.5286493,-2.7679214,5.3094087,-0.2652573,1.0092224417426892,0.06810139586782497,0.4049261859277158,,50.229435,27.591799,19.793598,-7.2017474,-0.099172175
None|Chmy_10|Chelonia_mydas,Reptilian Ly6 group 2,Ly-6,Reptilian Ly6 group 2,Membrane,MKA,10.0,,-3.3527331,5.6321783,-3.5583565,4.6248727,-0.42057675,1.0661952570969802,0.06912338372104462,0.38137702145625163,,50.49452,32.862694,23.903145,-7.5583363,2.0358586
None|Chmy_11|Chelonia_mydas,Reptilian Ly6 group 2,Ly-6,Reptilian Ly6 group 2,Membrane,MKA,10.0,,-3.272019,5.4475536,-3.5901463,4.6483607,-0.45594943,1.0188758004250353,0.09462358768944372,0.4006781605700985,,50.734695,32.600758,24.268478,-8.106714,1.6680409
None|Chmy_12|Chelonia_mydas,Ly6E,Ly-6,Ly6E,Secreted,MKI,10.0,,4.080511,12.268345,4.3241186,7.5760183,0.5436266,0.7083138055792836,0.22895747861703142,-0.0609890492841589,,-40.28549,24.54125,15.05503,6.9791827,5.426793
None|Chmy_13|Chelonia_mydas,Ly6 other,Ly-6,Ly6 other,Membrane,,11.0,,-3.4249802,5.8923955,-3.3478632,4.9911942,-0.43860853,1.0682717832693887,0.011925860126772506,0.42801719941237526,,48.952824,32.34448,22.612568,-6.5518193,1.0523304
None|Chmy_2|Chelonia_mydas,SLURP1,Ly-6,SLURP1,Membrane,MKV,10.0,,-4.8066034,6.0203967,-4.221929,5.0714197,0.6266466,1.1295727726343971,-0.0428600637711286,0.3624240848918899,,48.307056,37.151073,25.352251,-3.9154425,2.273942
None|Chmy_3|Chelonia_mydas,LYPD2,Ly-6,LYPD2,Membrane,MKG,11.0,,-4.2833266,5.72506,-3.817264,4.5934205,0.4108739,1.041792911848027,0.004306264086249208,0.33486877627168493,,49.463898,35.449078,24.797329,-5.3722324,4.1933656
None|Chmy_4|Chelonia_mydas,Reptilian Ly6 group 1,Ly-6,Reptilian Ly6 group 1,Membrane,,10.0,,-2.3702567,5.3878613,-3.6676252,4.9953017,-1.1078304,0.9920909279042477,0.3186198933875877,0.45422870019199085,,54.733788,29.02741,23.459377,-8.931569,-2.4767385
None|Chmy_5|Chelonia_mydas,Reptilian Ly6 group 1,Ly-6,Reptilian Ly6 group 1,Membrane,MKA,10.0,,-2.2149448,5.372841,-3.658662,5.2075615,-1.2816114,1.0123055440320907,0.3782629795589922,0.425166350530422,,54.844166,29.295269,23.472355,-9.553522,-2.2935636
None|Chmy_6|Chelonia_mydas,Reptilian Ly6 group 1,Ly-6,Reptilian Ly6 group 1,Membrane,MLQ,9.0,,-2.7837086,5.409214,-3.7366488,5.0527735,-0.81644475,0.8715913272801228,0.11246945118834108,0.34446387338123735,,54.602825,32.009872,25.310226,-8.458312,-0.7341527
None|Chmy_7|Chelonia_mydas,Reptilian Ly6 group 1,Ly-6,Reptilian Ly6 group 1,Membrane,MLS,10.0,,-2.3265426,5.49964,-3.4711916,5.169553,-1.2512972,0.9452699270463711,0.30388594718854656,0.4977099934021391,,54.672005,28.704292,22.863478,-9.1801605,-2.5990727
None|Chmy_9|Chelonia_mydas,Reptilian Ly6 group 3,Ly-6,Reptilian Ly6 group 3,Membrane,MKA,10.0,,-3.1527872,6.1231236,-2.8443966,4.3265452,-0.24186349,0.8476618981387448,0.005836808430956339,0.3347827799720296,,45.899067,27.649311,21.217457,-9.387612,4.2118053
None|Povi_1|Pogona_vitticeps,PSCA,Ly-6,PSCA,Membrane,MTP,11.0,,-2.970988,6.0715675,-2.930809,4.7966905,-0.5775208,0.9960588134588434,0.1286531311921498,0.4048557313321918,,49.650074,28.64124,20.677557,-8.451011,0.7490725
None|Povi_10|Pogona_vitticeps,Reptilian Ly6 group 4,Ly-6,Reptilian Ly6 group 4,Secreted,MKT,9.0,,7.4548626,11.496938,5.880493,8.182262,3.372292,0.2513736221171979,-0.18977978224914768,0.15088776526964073,,-17.489498,-2.0914783,4.4992433,-3.38639,1.172381
None|Povi_11|Pogona_vitticeps,Reptilian Ly6 group 4,Ly-6,Reptilian Ly6 group 4,Membrane,MKT,10.0,,-3.6140783,5.5899186,-3.625954,4.4023285,-0.2510691,1.059859442734946,-0.024361120720640443,0.34322810471916076,,51.240086,33.56745,24.039276,-7.658275,3.1376765
None|Povi_12|Pogona_vitticeps,Ly6 other,Ly-6,Ly6 other,Membrane,MKV,10.0,,-3.0818496,5.9111023,-3.3985488,5.0926137,-0.49526912,0.9201794490498145,0.0019034690162556983,0.4347918626230308,,48.697033,31.880417,21.916983,-6.75293,0.7692788
None|Povi_3|Pogona_vitticeps,LYPD2,Ly-6,LYPD2,Membrane,MVE,12.0,,-4.4625487,5.7977586,-4.1313934,4.698205,0.43293157,1.0823253351778703,-0.0303214968878331,0.3842500326058417,,49.227333,36.12882,25.279274,-4.9991064,3.4004266
None|Povi_5|Pogona_vitticeps,Reptilian Ly6 group 1,Ly-6,Reptilian Ly6 group 1,Membrane,,10.0,,-2.581343,5.304145,-3.5075283,5.2129655,-1.3288469,0.9516571349799009,0.2492169955986931,0.37467132134648284,,54.531517,30.630547,24.236223,-10.092659,-0.7993699
None|Povi_6|Pogona_vitticeps,Reptilian Ly6 group 1-2,Ly-6,Reptilian Ly6 group 1-2,Membrane,MKA,10.0,,-2.8796322,5.6612144,-3.454164,4.993614,-0.64555025,1.0169574986559535,0.15545579109313618,0.3666646356394352,,51.60043,30.788921,23.012638,-8.293562,0.20588812
None|Povi_7|Pogona_vitticeps,Ly6 other,Ly-6,Ly6 other,Membrane,MKA,10.0,,-3.2835703,6.4692664,-3.000102,4.621385,0.1603378,0.9622839175355595,-0.04164604217997652,0.2904871036127842,,47.40701,30.944216,21.870619,-6.345913,4.4497776
None|Povi_8|Pogona_vitticeps,Ly6 other,Ly-6,Ly6 other,Membrane,,10.0,,-3.4792733,6.3276377,-3.0373926,4.667544,0.013386355,0.9347118235353055,-0.16540203381401836,0.4099086494383918,,46.832943,30.38508,21.094889,-6.297837,3.4016733
None|Povi_9|Pogona_vitticeps,Reptilian Ly6 group 3,Ly-6,Reptilian Ly6 group 3,Secreted,MKT,11.0,,4.104599,12.361583,4.3488507,7.507529,0.3234581,0.7088696174242566,-0.01426008480727787,-0.2812945630966908,,-40.967014,22.43045,13.956318,7.0412564,3.3808029
None|Povi_4|Pogona_vitticeps,Reptilian Ly6 group 5,Ly-6,Reptilian Ly6 group 5,Membrane,MMA,10.0,,-3.285603,6.7392526,-2.5602052,4.73236,-0.050698377,0.7664136068841103,-0.06670608319954975,0.34066236817398865,,44.1706,28.645794,18.789389,-7.8717155,3.703116
None|Anca_1|Anolis_carolinensis,PSCA,Ly-6,PSCA,Membrane,MKV,10.0,,-2.7730808,6.317068,-2.89956,5.071794,-0.6243453,0.9776956244275465,0.1213526186585731,0.38590445109609733,,49.862473,28.193796,20.258274,-7.813433,0.37406057
None|Anca_10|Anolis_carolinensis,Reptilian Ly6 group 4,Ly-6,Reptilian Ly6 group 4,Membrane,MKT,10.0,,-3.8853745,5.660816,-3.6257608,4.280017,-0.15943702,1.0674864281578968,-0.09522520562972456,0.3706788190359288,,51.561718,33.972706,23.768831,-7.413693,3.7443678
None|Anca_2|Anolis_carolinensis,SLURP1,Ly-6,SLURP1,Membrane,MNV,10.0,,-4.7052827,6.216795,-4.029675,4.8895826,0.7306994,1.1201362874036136,-0.028456410590499578,0.345951236047453,,48.137253,36.818836,24.951876,-3.929,2.894576
None|Anca_3|Anolis_carolinensis,LYPD2,Ly-6,LYPD2,Membrane,MEK,10.0,,-4.4261794,5.5739217,-4.1245446,4.5456147,0.33505026,1.0644661903487411,0.04834454452432764,0.3930187377540353,,49.597675,35.539963,24.868887,-5.62058,3.8459685
None|Anca_5|Anolis_carolinensis,Reptilian Ly6 group 1,Ly-6,Reptilian Ly6 group 1,Membrane,MKA,10.0,,-2.4534793,5.2461963,-3.7298245,5.2580585,-1.1202621,0.9709215654013491,0.25956721639431074,0.3631755868144026,,54.42775,30.444426,24.26455,-9.775783,-1.3011332
None|Anca_6|Anolis_carolinensis,Reptilian Ly6 group 1-2,Ly-6,Reptilian Ly6 group 1-2,Membrane,MKA,10.0,,-2.8293064,5.718025,-3.3871944,4.848254,-0.7963599,0.9690453579764583,0.12438099103594437,0.45166406464840336,,51.622208,30.81324,22.86484,-8.624958,0.5381613
None|Anca_7|Anolis_carolinensis,Ly6 other,Ly-6,Ly6 other,Membrane,MKS,11.0,,-3.586533,6.414318,-2.9488227,4.717312,0.17327204,1.0356876017962093,-0.1105627387841503,0.3775212468180868,,46.72703,30.536823,20.979374,-6.507387,3.3009827
None|Anca_8|Anolis_carolinensis,Reptilian Ly6 group 3,Ly-6,Reptilian Ly6 group 3,Secreted,MKA,10.0,,4.1116734,12.407977,4.523038,7.2789965,0.5684694,0.6347501228193405,0.038235489953853646,-0.1869897066081279,,-40.928196,22.343721,13.80545,6.99937,3.3817503
None|Anca_9|Anolis_carolinensis,Reptilian Ly6 group 4,Ly-6,Reptilian Ly6 group 4,Secreted,MMK,10.0,,4.5474143,12.341306,4.5945725,7.584729,0.845451,0.6657328788141181,-0.068586624565823,-0.10059184778656828,,-40.288933,21.892166,13.080619,7.5833144,3.734374
None|Anca_4|Anolis_carolinensis,Reptilian Ly6 group 5,Ly-6,Reptilian Ly6 group 5,Membrane,MAT,10.0,,-2.9906096,6.680011,-2.5740473,4.588567,-0.02639603,0.6984034040682024,0.010408601477757367,0.443351097477042,,44.186813,28.025137,18.85038,-8.627588,3.9642913
